Motion detected in 284 frames
Frame 1: 1 objects detected
  Object 1: x=421, y=759, width=79, height=34
  Object 2: x=262, y=748, width=49, height=54
  Object 3: x=356, y=726, width=36, height=29
  Object 4: x=450, y=316, width=50, height=48
  Object 5: x=192, y=221, width=308, height=140
  Object 6: x=0, y=209, width=143, height=160
  Object 7: x=70, y=158, width=23, height=55
  Object 8: x=272, y=155, width=29, height=38
  Object 9: x=11, y=154, width=59, height=31
  Object 10: x=305, y=145, width=36, height=53
  Object 11: x=344, y=105, width=76, height=62
  Object 12: x=345, y=96, width=31, height=37
  Object 13: x=364, y=59, width=45, height=33
  Object 14: x=406, y=54, width=94, height=162
  Object 15: x=222, y=38, width=39, height=30
  Object 16: x=175, y=38, width=45, height=32
  Object 17: x=0, y=31, width=343, height=211
  Object 18: x=431, y=26, width=59, height=74
  Object 19: x=0, y=20, width=46, height=43
  Object 20: x=444, y=0, width=56, height=74
  Object 21: x=399, y=0, width=44, height=28
  Object 22: x=123, y=0, width=105, height=49
Frame 35: 21 objects detected
  Object 1: x=343, y=779, width=74, height=23
  Object 2: x=419, y=759, width=81, height=35
  Object 3: x=261, y=748, width=68, height=54
  Object 4: x=449, y=317, width=51, height=47
  Object 5: x=191, y=219, width=309, height=142
  Object 6: x=0, y=209, width=143, height=160
  Object 7: x=272, y=154, width=29, height=39
  Object 8: x=10, y=154, width=83, height=59
  Object 9: x=305, y=145, width=36, height=53
  Object 10: x=345, y=105, width=74, height=61
  Object 11: x=345, y=95, width=30, height=38
  Object 12: x=364, y=59, width=45, height=33
  Object 13: x=406, y=54, width=94, height=161
  Object 14: x=221, y=38, width=39, height=30
  Object 15: x=175, y=38, width=43, height=32
  Object 16: x=0, y=31, width=343, height=225
  Object 17: x=430, y=25, width=60, height=75
  Object 18: x=0, y=24, width=47, height=49
  Object 19: x=444, y=0, width=56, height=73
  Object 20: x=400, y=0, width=42, height=27
  Object 21: x=123, y=0, width=104, height=49
Frame 36: 24 objects detected
  Object 1: x=353, y=759, width=147, height=43
  Object 2: x=260, y=748, width=69, height=55
  Object 3: x=434, y=689, width=30, height=43
  Object 4: x=449, y=317, width=51, height=47
  Object 5: x=191, y=218, width=309, height=143
  Object 6: x=0, y=209, width=143, height=160
  Object 7: x=353, y=169, width=33, height=31
  Object 8: x=272, y=154, width=28, height=39
  Object 9: x=10, y=153, width=83, height=46
  Object 10: x=305, y=145, width=36, height=55
  Object 11: x=343, y=138, width=48, height=28
  Object 12: x=379, y=103, width=40, height=56
  Object 13: x=344, y=95, width=31, height=37
  Object 14: x=0, y=82, width=36, height=70
  Object 15: x=174, y=60, width=44, height=40
  Object 16: x=405, y=55, width=95, height=160
  Object 17: x=347, y=55, width=62, height=37
  Object 18: x=36, y=31, width=308, height=225
  Object 19: x=175, y=30, width=52, height=41
  Object 20: x=429, y=25, width=61, height=75
  Object 21: x=0, y=24, width=49, height=49
  Object 22: x=444, y=0, width=56, height=74
  Object 23: x=399, y=0, width=43, height=27
